City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Property Type,Square Footage
Revelstoke,BC,50.9765854,-118.1731491,839000.0,3.0,2.0,Condo,891.0
Boswell,BC,49.4718704,-116.770195,1150000.0,3.0,2.0,Single Family,1881.0
West Kelowna,BC,49.8252302,-119.6032534,149000.0,2.0,1.0,Single Family,912.0
Kelowna,BC,49.8218597,-119.4801428,1298000.0,5.0,4.0,Single Family,4374.0
Maple Ridge,BC,49.2216734,-122.5966374,759900.0,3.0,2.0,Condo,1254.0
Qualicum Beach,BC,49.346396,-124.4445,549000.0,2.0,2.0,Condo,1122.0
Campbell River,BC,49.98087,-125.239777,859000.0,4.0,3.0,Single Family,1260.0
Vancouver,BC,49.2868444,-123.1241525,1798000.0,2.0,3.0,Condo,1183.0
Maple Ridge,BC,49.2058351,-122.6622935,950000.0,3.0,2.0,Single Family,2107.0
Qualicum Beach,BC,49.3506072,-124.3829928,1198500.0,3.0,2.0,Single Family,1886.0
Surrey,BC,49.192983,-122.8499985,619000.0,2.0,2.0,Condo,803.0
Langley,BC,49.1659693,-122.5928148,3798600.0,6.0,6.0,Single Family,6606.0
Nanaimo,BC,49.1875094,-123.9907192,529900.0,2.0,2.0,Condo,1070.0
Whaletown,BC,50.116746,-125.035334,1325000.0,3.0,2.0,Single Family,1976.0
Tumbler Ridge,BC,55.133109,-120.997551,63735.0,3.0,2.0,Condo,1512.0
Burnaby,BC,49.2804279,-122.982896,629000.0,1.0,1.0,Condo,630.0
Radium Hot Springs,BC,50.6182247,-116.0722724,299900.0,2.0,2.0,Condo,1184.0
Enderby,BC,50.6077957,-118.7278137,1195000.0,5.0,5.0,Single Family,3681.0
Kelowna,BC,49.8439865,-119.4901047,685000.0,2.0,2.0,Condo,690.0
Kelowna,BC,49.9867512,-119.4436974,1449900.0,4.0,4.0,Single Family,4007.0
Kelowna,BC,49.9132643,-119.4523249,878900.0,3.0,2.0,Single Family,1658.0
Kelowna,BC,49.8961202,-119.4343345,1399000.0,5.0,4.0,Single Family,3968.0
Vancouver,BC,49.2156531,-123.1163426,928000.0,2.0,2.0,Condo,884.0
Quesnel,BC,52.9706562,-122.463147,379900.0,4.0,2.0,Single Family,2054.0
Powell River,BC,49.7754741,-124.4411223,1595000.0,4.0,2.0,Single Family,3228.0
Vancouver,BC,49.2156531,-123.1163426,918000.0,2.0,2.0,Condo,815.0
Fort St. John,BC,56.2481153,-120.8267062,159000.0,2.0,1.0,Condo/Townhome,1520.0
Lake Country,BC,50.051504,-119.40825,2189000.0,3.0,3.0,Single Family,2405.0
Sicamous,BC,50.827083,-118.979282,230000.0,3.0,2.0,Single Family,1632.0
Sorrento,BC,50.8837117,-119.4912486,250000.0,2.0,1.0,Single Family,840.0
Powell River,BC,49.8489702,-124.5159507,509900.0,2.0,2.0,Condo,1342.0
Port McNeill,BC,50.581669,-127.063461,649000.0,4.0,3.0,Single Family,2677.0
Fort St. John,BC,56.2405884,-120.7624099,469900.0,3.0,2.0,Single Family,1339.0
Vanderhoof,BC,54.0172757027335,-124.000000384656,208500.0,3.0,1.0,Single Family,1440.0
Prince George,BC,53.8692025,-122.7872884,799800.0,5.0,3.0,Single Family,2920.0
Summerland,BC,49.6233711,-119.6895981,1999000.0,5.0,4.0,Single Family,3370.0
Coldstream,BC,50.2368622,-119.2618637,2399000.0,3.0,4.0,Single Family,3446.0
West Kelowna,BC,49.8392483,-119.6176327,624900.0,2.0,2.0,Single Family,1597.0
Kelowna,BC,49.7961636,-119.5124315,1199997.0,4.0,4.0,Single Family,2908.0
Lake Country,BC,50.0211862,-119.4356592,1450000.0,5.0,3.0,Single Family,2992.0
Salmon Arm,BC,50.7044057,-119.2843895,699900.0,2.0,2.0,Condo,1651.0
Lake Country,BC,50.0428567,-119.4105876,997000.0,3.0,2.0,Single Family,1478.0
Kamloops,BC,50.6861801,-120.2986298,394000.0,2.0,2.0,Single Family,754.0
Prince George,BC,53.8557387,-122.7524835,474900.0,4.0,2.0,Condo,1733.0
103 Mile House,BC,51.683171157413,-121.30769794418,359000.0,3.0,2.0,Single Family,1421.0
Quesnel,BC,53.0404754,-122.5627618,649900.0,4.0,3.0,Single Family,2520.0
Quesnel,BC,52.9535584,-122.3974878,799900.0,4.0,4.0,Single Family,2894.0
Vernon,BC,50.2659493,-119.2820872,397500.0,2.0,2.0,Condo,1061.0
Kelowna,BC,49.8439865,-119.4901047,724800.0,2.0,2.0,Condo,785.0
Lake Country,BC,50.0326775,-119.4413178,2149900.0,5.0,6.0,Single Family,4689.0
Vernon,BC,50.2573665,-119.2758587,484900.0,3.0,2.0,Single Family,1173.0
Kelowna,BC,49.8756666,-119.4816453,469900.0,2.0,2.0,Condo,1138.0
Kelowna,BC,50.1203014,-119.5154751,614900.0,3.0,2.0,Single Family,1001.0
Port Hardy,BC,50.7198697,-127.5106946,489000.0,4.0,3.0,Single Family,2456.0
Quesnel,BC,53.0267153722602,-122.638382773016,199900.0,2.0,2.0,Single Family,924.0
Prince George,BC,53.9370616,-122.802026,559000.0,3.0,3.0,Single Family,2346.0
Cherryville,BC,50.2496529,-118.7080841,749900.0,3.0,2.0,Single Family,1375.0
Kamloops,BC,50.7056236,-120.3791122,899900.0,6.0,4.0,Single Family,3454.0
Kelowna,BC,49.8754748,-119.4056498,945000.0,5.0,3.0,Single Family,2524.0
Kelowna,BC,49.929558,-119.4153851,3150000.0,4.0,4.0,Single Family,3648.0
Penticton,BC,49.5015869,-119.5903931,499900.0,1.0,1.0,Condo,1069.0
Kelowna,BC,49.9040265,-119.4832321,1700000.0,3.0,3.0,Single Family,2906.0
West Kelowna,BC,49.840458,-119.605046,679000.0,2.0,2.0,Single Family,1447.0
Revelstoke,BC,50.9801064,-118.1714776,1050000.0,6.0,3.0,Single Family,2662.0
Prince George,BC,53.9192413,-122.7588239,499900.0,4.0,2.0,Single Family,1913.0
Prince George,BC,53.8527596,-122.7509443,529900.0,3.0,3.0,Condo,1612.0
Quesnel,BC,52.9750497,-122.5065893,329900.0,4.0,2.0,MultiFamily,1740.0
Quesnel,BC,52.8751053,-122.4096502,1449900.0,3.0,2.0,Single Family,1920.0
Quesnel,BC,52.9750065,-122.4416629,475000.0,3.0,2.0,Single Family,1572.0
Quesnel,BC,52.9798047,-122.4920246,459900.0,6.0,2.0,Single Family,2601.0
Kelowna,BC,49.8793366,-119.4471496,724900.0,2.0,2.0,Condo/Townhome,1475.0
Canal Flats,BC,50.1555367,-115.8159485,214900.0,2.0,1.0,Single Family,717.0
Kelowna,BC,49.8602288,-119.4861502,349900.0,1.0,1.0,Condo,619.0
Kamloops,BC,50.7304115,-120.0393372,920000.0,3.0,3.0,Single Family,2033.0
Powell River,BC,49.8336983,-124.5161591,779000.0,3.0,2.0,Single Family,2160.0
Kamloops,BC,50.662455,-120.2571423,649900.0,4.0,3.0,Condo,2274.0
Kamloops,BC,50.6788982,-120.2632361,499900.0,3.0,2.0,Condo,1334.0
Sun Peaks,BC,50.879835,-119.894147,2099000.0,4.0,4.0,Single Family,3483.0
Coldstream,BC,50.2375495,-119.2663018,419500.0,2.0,1.0,Single Family,1245.0
Surrey,BC,49.1957108,-122.8563207,439000.0,1.0,1.0,Condo,532.0
Kamloops,BC,50.6618767,-120.2772762,1089000.0,5.0,4.0,Single Family,3381.0
Burns Lake,BC,54.2505096,-125.7574575,284000.0,3.0,1.0,Single Family,1460.0
Powell River,BC,49.8179348,-124.5153997,1049900.0,5.0,4.0,Single Family,3600.0
Revelstoke,BC,50.9765854,-118.1731491,1150000.0,3.0,3.0,Condo,1168.0
Nelson,BC,49.6191101,-116.9969025,179000.0,2.0,2.0,Single Family,935.0
